"Unnamed: 0","term_stem","impressions","visits","month"
"1","vornam","29","17","2019-10"
"2","wass","24","5","2019-10"
"3","wfs","20","2","2019-10"
"4","gebaud","22","15","2019-10"
"5","bezirk","22","9","2019-10"
"6","umweltatlas","12","2","2019-10"
"7","lor","22","11","2019-10"
"8","alkis","20","13","2019-10"
"9","einkomm","10","3","2019-10"
"10","verkehr","15","7","2019-10"
"11","luft","10","6","2019-10"
"12","volkshochschul","16","5","2019-10"
"13","vbb","10","8","2019-10"
"14","adress","9","3","2019-10"
"15","flurkart","12","10","2019-10"
"16","fahrrad","14","12","2019-10"
"17","friedrichshain kreuzberg","11","3","2019-10"
"18","gemark","13","9","2019-10"
"19","mietentwickl berlin","8","1","2019-10"
"20","bod","7","3","2019-10"
"21","einwohn in den ortsteil","7","5","2019-10"
"22","postleitzahl","8","5","2019-10"
"23","block","6","1","2019-10"
"24","strassenbefahr 2014","6","2","2019-10"
"25","einwohn","11","7","2019-10"
"26","gewass","6","1","2019-10"
"27","flachennutz","6","1","2019-10"
"28","weihnachtsmarkt","7","5","2019-10"
"29","echtzeit","5","3","2019-10"
"30","berlin mau","12","8","2019-10"
"31","arbeitslosenanteil","5","2","2019-10"
"32","gtfs","10","10","2019-10"
"33","beschaftigt","5","1","2019-10"
"34","temperatur","5","1","2019-10"
"35","sozial","7","3","2019-10"
"36","bodenrichtwert","6","3","2019-10"
"37","pankow","5","2","2019-10"
"38","naturschutz","6","2","2019-10"
"39","rbs","5","5","2019-10"
"40","einwohnerinn und einwohn","4","1","2019-10"
"41","diversity","6","3","2019-10"
"42","arbeitslos","7","3","2019-10"
"43","bloeck","4","1","2019-10"
"44","strom","4","1","2019-10"
"45","shapefil","7","6","2019-10"
"46","berlin","4","2","2019-10"
"47","denkmal","4","2","2019-10"
"48","fahrrad teil","4","1","2019-10"
"49","event","4","1","2019-10"
"50","bezirksgrenz","5","4","2019-10"
"51","grunflach","6","3","2019-10"
"52","bik sharing","4","1","2019-10"
"53","bebauungsplan","5","2","2019-10"
"54","miet","7","5","2019-10"
"55","kriegsschad berlin","4","1","2019-10"
"56","brandenburg","4","1","2019-10"
"57","larm","7","3","2019-10"
"58","adzahl","4","1","2019-10"
"59","bw volksf","4","1","2019-10"
"60","wohnungsmiet","4","1","2019-10"
"61","strassenverzeichnis","4","3","2019-10"
"62","brennpunktschul","3","1","2019-10"
"63","berlin bezirk","3","2","2019-10"
"64","apothek","3","1","2019-10"
"65","flurstuck","7","7","2019-10"
"66","senatsverwalt fur wirtschaft technologi und forschung","3","1","2019-10"
"67","bewegungsangebot","3","2","2019-10"
"68","csv","3","2","2019-10"
"69","radrout","3","2","2019-10"
"70","denkmalschutz","3","3","2019-10"
"71","31 12 2016","3","1","2019-10"
"72","verkehrszeich","3","1","2019-10"
"73","regenwass","3","1","2019-10"
"74","parkraumbewirtschaft","5","3","2019-10"
"75","strass","5","3","2019-10"
"76","json","3","3","2019-10"
"77","umwelt","3","2","2019-10"
"78","rad","4","3","2019-10"
"79","amt fur statist","3","1","2019-10"
"80","valetta","3","1","2019-10"
"81","bevolkerungsdicht","3","2","2019-10"
"82","personalmanagementbericht","5","2","2019-10"
"83","luftbild","4","3","2019-10"
"84","fahrradunfall","3","1","2019-10"
"85","einkauf","3","1","2019-10"
"86","plz","3","1","2019-10"
"87","migration","3","3","2019-10"
"88","berlin 1945","3","1","2019-10"
"89","1992","3","1","2019-10"
"90","blockteilschlussel berlin weissense","3","1","2019-10"
"91","geodat","2","2","2019-10"
"92","gesund","2","2","2019-10"
"93","einwohnerzahl","2","2","2019-10"
"94","wett","2","2","2019-10"
"95","neukolln","2","1","2019-10"
"96","kart","4","3","2019-10"
"97","schul","2","1","2019-10"
"98","wohngeld","3","2","2019-10"
"99","baum","6","5","2019-10"
"100","haltestell","5","4","2019-10"
"101","gis","4","4","2019-10"
"102","innerstadr verlauf der mau","2","1","2019-10"
"103","arbeit","2","1","2019-10"
"104","bus","2","2","2019-10"
"105","krankenhaus","2","2","2019-10"
"106","dop","2","2","2019-10"
"107","friedrichshain west stadtumbaugebiet","2","1","2019-10"
