"","term_stem","impressions","visits"
"1","vermess at ba fk berlin de",44,16
"2","lor",39,9
"3","einwohn",28,5
"4","kart",23,4
"5","bvg",23,10
"6","alkis",23,7
"7","gebaud",17,6
"8","flurkart",23,18
"9","rbs",16,9
"10","atkis",11,1
"11","vbb",20,13
"12","fahrrad",14,10
"13","strass",25,8
"14","gewass",12,3
"15","polizei",9,4
"16","temperatur",13,3
"17","vornam",12,10
"18","brandenburg",8,3
"19","bodenrichtwert",9,3
"20","luftbild or atom",8,1
"21","verkehr",7,1
"22","ausland",7,2
"23","wass",16,5
"24","friedrichshain kreuzberg",7,3
"25","altlast",10,3
"26","bezirk",11,7
"27","gtfs",9,9
"28","schul",12,9
"29","standardlastprofil",6,2
"30","larmbelast",6,1
"31","utm",6,2
"32","flurstuck",9,7
"33","baum",8,6
"34","postleitzahl",10,5
"35","shapefil",6,5
"36","bezirkskart spandau",6,1
"37","atlas",6,2
"38","tourismus",6,5
"39","neukolln",5,3
"40","liegenschaftskatast",5,4
"41","krankenhaus",5,2
"42","digital orthophotos",5,1
"43","strat larmkart 2017",5,1
"44","adress",6,4
"45","gemark",9,8
"46","planungsraum",7,4
"47","dop or atom",5,1
"48","katast",7,6
"49","friedrichshain",5,4
"50","regional selt",4,1
"51","atz",4,1
"52","dop",4,1
"53","geodat",5,2
"54","aktenplan",4,1
"55","wohndau lor",4,2
"56","block",6,3
"57","senatsbeschluss",6,5
"58","migration",5,4
"59","haltestell",4,3
"60","ozon",6,6
"61","bod",5,2
"62","shp",4,1
"63","grundwassergleichenkart",4,1
"64","haushaltsplan",4,3
"65","strassenverzeichnis",4,3
"66","3d",4,3
"67","geltungsbereich",4,3
"68","luftbild",5,2
"69","energieverbrauch",3,3
"70","licht",3,3
"71","rbs adress",4,4
"72","hoh",5,4
"73","wahl",6,4
"74","einwohnerdicht",6,4
"75","wms",3,1
"76","geoportal",4,3
"77","dgm1",3,2
"78","biodiversitat",3,1
"79","rad",3,2
"80","wahlergebnis",3,1
"81","grenz",4,2
"82","vbb berlin brandenburg fahrplan gesundbrunn templin de",3,1
"83","fahrplan vbb brandenburg rb 63 de",3,1
"84","frau juliet walt",3,1
"85","friedhof",3,1
"86","gewerbegebiet",3,1
"87","lageplan",3,1
"88","dgm",5,3
"89","wohnung",6,3
"90","pankow",3,3
"91","personal",3,1
"92","geologi",3,3
