"","term_stem","impressions","visits"
"1","corona",35,26
"2","verkehr",24,8
"3","kart",30,4
"4","lor",23,10
"5","schul",25,11
"6","rbs",24,5
"7","fahrrad",14,9
"8","einwohn",13,7
"9","gesund",11,3
"10","larmkart",11,1
"11","luftbild",15,3
"12","bodenrichtwert",11,4
"13","gtfs",11,10
"14","gebaud",14,6
"15","orthophotos",8,1
"16","shp",8,2
"17","flach",8,1
"18","alkis",16,2
"19","alt",7,4
"20","adress",8,4
"21","ortsteil",13,9
"22","wms",7,3
"23","breitband",7,3
"24","denkmallist",7,2
"25","histor kart",6,1
"26","einwohnerinn und einwohn in berlin in lor planungsraum",6,3
"27","bezirk",15,10
"28","list",6,1
"29","liegenschaftskatast",6,2
"30","api",6,2
"31","bvg",8,5
"32","hoh",8,4
"33","grundwass",10,3
"34","geodat",5,3
"35","einwohnerzahl",8,7
"36","krankenhaus",11,8
"37","crim",5,3
"38","aktuell einwohnerzahl",7,4
"39","kita",5,4
"40","opnv",7,6
"41","parkhaus",4,4
"42","gehweg",5,2
"43","luft",4,1
"44","beschaftigt",5,2
"45","immobili",5,3
"46","haushalt",7,4
"47","toilett",5,4
"48","traffic",4,2
"49","grundwasserstand",4,1
"50","sterbefall",4,1
"51","schlierseestr",4,1
"52","bildung",4,1
"53","block",5,2
"54","gelandehoh",4,2
"55","wann wird der antik und buchermarkt am kupfergrab wied stattfind",4,1
"56","einkomm",6,5
"57","miet",5,5
"58","einwohnerinn und einwohn in berlin in lor planungsraum am 31 12 2015",4,2
"59","stadtplan",5,2
"60","wohnlag franz mey str",4,1
"61","gewerbeanmeld",4,2
"62","hydrogeologi",4,1
"63","tk25",4,1
"64","bdom",4,2
"65","schwengelpump",4,1
"66","tourismus",5,5
"67","rbs adress",3,2
"68","gewass",3,2
"69","viertel",4,2
"70","baum",9,9
"71","berlin population",3,2
"72","taxi",3,2
"73","wass",3,2
"74","einwohnerinn und einwohn in berlin in lor planungsraum am 31 12 2018",3,1
"75","strass",6,4
"76","28 04 2020",3,2
"77","niederdorfeld",3,1
"78","grenz",3,2
"79","verbrech",3,2
"80","grun",3,2
"81","senatsbeschluss",7,6
"82","wahl",3,1
"83","vorrangnetz",4,3
"84","alk",3,1
"85","einkommensgrupp",3,1
"86","kulbeweg",3,1
"87","go dat luftbild",3,1
"88","postleitzahl berlin",3,1
"89","die gebaud",3,1
"90","strassenrein warnitz str",3,1
"91","einwohn 2015",3,1
"92","afs",3,2
"93","dop",3,2
"94","muse",3,1
"95","grundbuchamt",3,1
"96","gemark",6,4
"97","blockkart",4,2
"98","mortalitat",3,2
"99","geolog aufbau berlin",3,2
"100","hamburg bahnhof",3,1
"101","festival",3,1
"102","jugend",3,1
"103","orthophoto",3,3
"104","informationsschreib energiespar bau",4,2
"105","mindestlon",3,1
"106","wohnflach",3,1
"107","bodenrichtwert 2020",3,2
"108","shapefil",3,1
"109","tourismus allgauu",3,1
"110","einwohnerinn und einwohn in berlin in lor planungsraum am 31 12 2014",3,1
"111","neukolln sozialhilf",3,1
"112","lkw",3,1
"113","hamburg bahnhof orthofoto",3,1
"114","bezirksgrenz",3,1
"115","netzwerk",2,2
"116","grz auskunft",2,2
"117","museum",2,2
"118","statiest erhebungsbog",2,1
"119","mau",2,2
"120","pflegeeinricht",2,1
"121","deutschland 1650",2,1
"122","postleitzahl",4,4
"123","treibhausgas",2,1
"124","radfahr",2,2
"125","metadata",2,1
"126","vbb",2,2
"127","gesundheitsamt",2,1
"128","wohndau",2,1
"129","mietspreis",2,1
"130","gewerb",2,1
"131","bahnhof",2,1
"132","vermess at ba fk berlin de",2,2
"133","behinder",2,1
"134","schornsteinfegerkehrbezirk",2,1
"135","senat",2,2
"136","vertrag",2,2
"137","2016",2,1
"138","post",2,1
"139","heimatlos",2,1
"140","schulsprengel",2,1
"141","gesund arzt",2,1
"142","arzt gesundheitsindikator",2,1
"143","be dop 2016",2,2
"144","localidad",2,1
"145","download gpx",2,1
"146","bei pflegegeld anspruch auf berlin pass",2,1
"147","messstell und schildhorn",2,1
"148","berlin",3,3
"149","guterbahnhof kopenick",2,1
"150","windenergi",2,1
"151","senatsbeschluss mindestlohn",2,1
"152","gis",3,3
"153","2019",1,1
"154","wohnlag",2,2
"155","schlecht",2,2
"156","messstell",2,1
"157","schoneberg friedenau",2,1
"158","der verkehr",2,1
"159","internet",3,3
"160","12 50",2,1
"161","volkshochschul",2,1
"162","flachennutz stadtstruktur 2015 und versiegel 2016",2,1
"163","lda",2,2
"164","alt spreeverlauf",2,1
"165","anschrift",2,1
"166","24 marz 2020",2,1
"167","messstell luft",2,1
"168","park",5,4
"169","geodat gebaud",2,1
"170","hochkalterweg",2,1
"171","bebauungsplan",2,2
"172","umweltmessstation",2,1
"173","einwohnerinn und einwohn in berlin in lor planungsraum am 31 12 2016",2,1
"174","restaurant mit lieferservic",2,1
"175","landesmindestlohn",2,1
"176","pizza",2,1
"177","lor planungsraum",3,2
"178","flurstuck",3,2
"179","einwohn planungsraum",2,1
"180","covid",2,2
"181","bruck",2,1
"182","baupreisindex",2,1
"183","athiop orthodox kirch",2,1
"184","bodenrichtwert 01 01 2020",2,2
"185","staak",2,1
"186","airport",2,1
"187","mietendeckel",4,3
"188","strassennetz",2,2
"189","spielplatz",2,2
"190","pro haushalt",2,1
"191","niederschlag",2,1
"192","lebenswelt orientiert raum lor planungsraum",2,1
"193","geometri ortsteil",2,1
"194","unternehmensgrund",2,1
"195","tempelhof schoneberg",3,2
"196","flight",2,1
"197","schlierseestrass",3,2
"198","ladeinfrastruktur",4,3
"199","einwohnerinn und einwohn in berlin",2,1
"200","job",3,2
"201","entwicklungsmassnahm",2,1
"202","jugend meinung",4,2
"203","dicht",2,1
"204","neukolln",3,2
"205","spandau",2,1
"206","rbb",2,1
"207","otto gross",2,1
"208","soforthilf ii",2,1
"209","krank",2,1
"210","berlinonlin",2,1
"211","einwohnerinn und einwohn in berlin in lor planungsraum am 31 12 2013",2,1
"212","schutzgebiet",2,1
"213","ozon",2,1
"214","grundschul",2,1
"215","jugend psych",2,1
"216","frau kunst",2,1
"217","niederschlagsmeng",2,1
"218","ausstell",2,1
"219","airport airport",2,1
"220","flachennutzungsplan",2,2
"221","salvator",2,1
"222","digital orthophotos bodenauflos 20 cm",2,1
"223","stephankiez demographi",2,1
"224","mord",2,1
"225","trodelmarkt",2,1
"226","arbeitnehm",2,1
"227","tankstell",2,2
"228","mauerweg",2,1
"229","pressemitteil",2,1
"230","luftqualitat",2,1
"231","offent platz",2,1
"232","kochan",3,2
"233","bebaungsplan",2,1
"234","amt fur statist",2,1
"235","einwohnerinn und einwohn in berlin in lor planungsraum am 31 12 2019",2,2
"236","verordn des senat zu corona",2,1
"237","lod",2,1
"238","orthophot",2,1
"239","frauenbild",2,1
"240","skitourismus",2,1
"241","osm",2,2
"242","strassenrein",2,1
"243","boris",2,2
"244","molln",2,1
"245","demograph",2,1
"246","hamburg bahnhof orthifoto",2,1
"247","deutsch digital bibliothek",2,1
"248","flohmarkt",2,1
"249","jugend zukunft",2,1
"250","flurgrenz",2,1
"251","lieferservic an",2,1
"252","birkenweg",1,1
"253","abimo",1,1
"254","wohnungsneubau 2019",1,1
"255","bundesbehord",1,1
"256","ansar ag",1,1
"257","sport gesund",1,1
"258","elion",1,1
"259","rigaerstrass",1,1
"260","betreut wohn",1,1
"261","gard",1,1
"262","berlinerstr",1,1
"263","bezirksmuseum marzahn hellersdorf",1,1
"264","senior",1,1
"265","bevolkerungsdicht",1,1
"266","tegel einwohn",1,1
"267","arm",2,2
"268","nachnam",1,1
"269","kriminal",1,1
"270","kreuzberg",1,1
"271","treptow park",1,1
"272","obdachlos",2,2
"273","demographi friedrichshain",1,1
"274","mfs",1,1
"275","polizei",2,2
"276","facebook",1,1
"277","flach bezirk",3,3
"278","ausland 31 12 2019",1,1
"279","berlin population alt",1,1
"280","vornam",2,2
"281","baumbestand",1,1
"282","unternehm",1,1
"283","mit migrationshintergrund",1,1
"284","wohnlag herschelstrass",1,1
"285","parkplatz",2,2
"286","corona beschluss",1,1
"287","gerust",1,1
"288","bwb",1,1
"289","thea",1,1
"290","tourismusmarketing",1,1
"291","mullentsorg",1,1
"292","gesundheitssystem",1,1
"293","veranstalt",2,2
"294","klemekestrass",1,1
"295","referenz",1,1
"296","vorhilf",1,1
"297","bauordn",2,2
"298","medizintourismus",1,1
"299","rbs einschulbereich",1,1
"300","brunn",1,1
"301","stau",1,1
"302","restaurant",1,1
"303","datenregis",1,1
