1,friedrichshain kreuzberg,77,33,Geographie und Stadtplanung
2,vermess at ba fk berlin de,20,9,Geographie und Stadtplanung
3,grunanlag,28,16,Umwelt und Klima
4,rbs,21,3,Geographie und Stadtplanung
5,planungsraum,18,3,Geographie und Stadtplanung
6,spielplatz,38,23,Jugend
7,grunanlagenbestand,42,32,Umwelt und Klima
8,kind,17,3,Jugend
9,gebaud,18,4,Wohnen und Immobilien
10,ortsteil,28,8,Geographie und Stadtplanung
11,corona,21,17,Gesundheit
12,erdwarm,11,1,Umwelt und Klima
13,bvg,11,6,Verkehr
14,haushalt,23,10,Sonstiges
