"Unnamed: 0","term_stem","impressions","visits","month"
"78","bus","2","2","2019-02"
"79","gewalt","2","2","2019-02"
"80","unterflurhydrant","2","1","2019-02"
"82","wahllokal 2019 neukolln","2","1","2019-02"
"83","los","2","2","2019-02"
"85","jugendgewalt","2","1","2019-02"
"90","beschaftigt","2","1","2019-02"
"91","wohnung","2","1","2019-02"
"92","bvg","2","2","2019-02"
"94","auslanderanteil de","2","1","2019-02"
"95","zuzug","2","2","2019-02"
"98","verfahr zur ermittl des verkehrwert","2","1","2019-02"
"99","grundstuck erbbauberechtigt","2","1","2019-02"
"100","tempel","2","1","2019-02"
"102","geodat baum or baum","2","1","2019-02"
"103","alt glienick grund","2","1","2019-02"
"104","einwohnerinn und einwohn mit migrationshintergrund","2","1","2019-02"
"105","oper","2","1","2019-02"
"106","kind","2","2","2019-02"
"107","flughaf tegel","2","1","2019-02"
"108","tourismus","2","1","2019-02"
"109","papi sammelstell","2","1","2019-02"
"111","wohnflach","2","2","2019-02"
"112","verkauf an den erbbauberechtigt","2","1","2019-02"
"114","ermittl des verkehrswert","2","1","2019-02"
"116","digital gelandemodell","2","1","2019-02"
"117","stellplatzverordn","2","1","2019-02"
"118","tempohom","2","1","2019-02"
"120","stromnetz","2","1","2019-02"
"122","bundestagswahl","2","1","2019-02"
"123","bvv","2","2","2019-02"
"124","grundstuck an den erbbauberechtigt","2","1","2019-02"
"125","straka","2","1","2019-02"
"126","tempolimit zionskirchstrass","2","1","2019-02"
"128","einwohnerinn und einwohn mit migrationshintergrund in berlin in lor planungsraum","2","1","2019-02"
"129","flachennutzungsplan","2","2","2019-02"
"130","verkehrszahl","2","1","2019-02"
"131","profil","2","1","2019-02"
"132","bezirk shapefil lor","2","1","2019-02"
"133","verfahr zur ermittl des verkehrwert bei der verausser von erbbaubelastet grundstuck an den erbbauberechtigt","2","1","2019-02"
"134","opnv","2","1","2019-02"
"135","verkehrsbelast","2","1","2019-02"
"136","finanzlag","2","1","2019-02"
"137","sprach","2","1","2019-02"
"138","handbuch","2","1","2019-02"
"140","beamt","2","1","2019-02"
"142","population grid","2","1","2019-02"
"143","unternehm","2","2","2019-02"
"144","shapefil","2","2","2019-02"
"145","rathaus kopenick","2","1","2019-02"
"146","verkehrsmeng","2","1","2019-02"
"147","energieverbrauch reinickendorf","2","1","2019-02"
"148","offent liegenschaft reinickendorf","2","1","2019-02"
