"Unnamed: 0","term_stem","impressions","visits","month"
"1","lichtenberg","21","8","2020-02"
"2","gtfs","26","23","2020-02"
"3","verkehr","19","6","2020-02"
"4","mitt","17","5","2020-02"
"5","kita","15","10","2020-02"
"6","vornam","22","15","2020-02"
"7","nam","23","8","2020-02"
"8","fahrrad","18","9","2020-02"
"9","berlin","14","3","2020-02"
"10","haushalt","20","2","2020-02"
"11","einwohnerinn und einwohn in den ortsteil berlin","12","2","2020-02"
"12","block","24","6","2020-02"
"13","dop","12","5","2020-02"
"14","vbb","12","10","2020-02"
"15","ortsteil","12","5","2020-02"
"16","einwohnerinn und einwohn mit migrationshintergrund in berlin in lor planungsraum","10","1","2020-02"
"17","lor","13","9","2020-02"
"18","ausland einwohnerinn","9","2","2020-02"
"19","grw","15","6","2020-02"
"20","adress","10","7","2020-02"
"21","park","15","8","2020-02"
"22","friedrichshain kreuzberg","8","5","2020-02"
"23","einwohnerinn und einwohn in berlin in lor planungsraum wohnlag wohndau herkunft ausland migrationshintergrund","8","3","2020-02"
"24","einwohn","9","5","2020-02"
"25","strass","13","6","2020-02"
"26","einkomm","12","4","2020-02"
"27","grunflach","8","3","2020-02"
"28","bezirk","15","11","2020-02"
"29","reinickendorf","7","4","2020-02"
"30","mietspiegel","9","3","2020-02"
"31","geodat luftbild","6","1","2020-02"
"32","wohnlagenzuordn","6","2","2020-02"
"33","bodenrichtwert","9","3","2020-02"
"34","lebenswelt","6","1","2020-02"
"35","bericht","7","2","2020-02"
"36","neukolln","9","4","2020-02"
"37","toilett","9","5","2020-02"
"38","vermess at ba fk berlin de","5","4","2020-02"
"39","rbs","5","3","2020-02"
"40","shp","5","2","2020-02"
"41","2019","5","2","2020-02"
"42","einwohn nach wohndau","5","2","2020-02"
"43","polizei","5","3","2020-02"
"44","gebaud","5","2","2020-02"
"45","alkis berlin","5","1","2020-02"
"46","standort","6","2","2020-02"
"47","breitband","5","3","2020-02"
"48","fahrplan","7","3","2020-02"
"49","geburt","6","5","2020-02"
"50","treptow kopenick","4","3","2020-02"
"51","kfz","4","2","2020-02"
"52","immobili","4","3","2020-02"
"53","steglitz","8","6","2020-02"
"54","einwohnerinn und einwohn nach wohnlag","4","1","2020-02"
"55","flachennutzungsplan","4","1","2020-02"
"56","stadtplan","6","4","2020-02"
"57","wohndau","5","2","2020-02"
"58","einwohnerinn und einwohn in berlin in lor planungsraum am einwohnerinn und einwohn in berlin in lor planungsraum am","4","1","2020-02"
"59","miet","4","3","2020-02"
"60","charlottenburg wilmersdorf","4","2","2020-02"
"61","lebenswelt orientiert raum lor","4","1","2020-02"
"62","haltestell","6","4","2020-02"
"63","fis brok","4","3","2020-02"
"64","strassenbefahr","5","2","2020-02"
"65","wald","4","1","2020-02"
"66","lor bezirksregion 2011","4","1","2020-02"
"67","haushaltseinkomm","3","2","2020-02"
"68","planungsraum","3","1","2020-02"
"69","mindestlohn","6","5","2020-02"
"70","eier","3","1","2020-02"
"71","baumbestand","3","3","2020-02"
"72","zensus 2011","3","2","2020-02"
"73","strassenbaumpflanz","3","3","2020-02"
