"Unnamed: 0","term_stem","impressions","visits","month"
"1","shp","19","4","2019-02"
"2","fairtrad","17","9","2019-02"
"3","energieverbrauch","17","11","2019-02"
"4","csv","16","3","2019-02"
"5","geometri","17","5","2019-02"
"6","gebaud","11","3","2019-02"
"7","geodat","13","5","2019-02"
"8","vornam","18","12","2019-02"
"9","alleinerzieh","10","4","2019-02"
"10","block","16","4","2019-02"
"11","rbs","13","6","2019-02"
"12","verkehr","9","6","2019-02"
"13","strass","11","4","2019-02"
"14","gtfs","10","8","2019-02"
"15","vbb","12","7","2019-02"
"16","statist block","7","2","2019-02"
"17","einkomm","8","4","2019-02"
"18","rbs block","7","2","2019-02"
"19","lebenswelt","7","2","2019-02"
"20","verkauv erbbaubelastet grundstuck an den erbbauberechtigt","9","3","2019-02"
"21","adress","14","5","2019-02"
"22","alkis","8","5","2019-02"
"23","nam","6","4","2019-02"
"24","flurkart","12","8","2019-02"
"25","grundkart","5","1","2019-02"
"26","wasserbetrieb","5","2","2019-02"
"27","lor","8","3","2019-02"
"28","katast","5","2","2019-02"
"29","energieverbrauchsubersicht","4","3","2019-02"
"30","lor planungsraum","4","1","2019-02"
"31","energi","4","4","2019-02"
"32","1002","4","2","2019-02"
"33","u bahn","4","2","2019-02"
"34","kultur","7","2","2019-02"
"35","api","4","1","2019-02"
"36","bezirk","9","7","2019-02"
"37","berlin strass","4","1","2019-02"
"38","badestell","4","3","2019-02"
"39","beschluss v 2018","4","1","2019-02"
"40","moabit","5","4","2019-02"
"41","baby","4","2","2019-02"
"42","wahlkreis","4","1","2019-02"
"43","nois","4","2","2019-02"
"44","kopen","4","1","2019-02"
"45","brandschutz","3","2","2019-02"
"46","netz","3","3","2019-02"
"47","wochenmarkt berlin","5","2","2019-02"
"48","naturschutzrecht","3","1","2019-02"
"49","fahrrad","5","5","2019-02"
"50","bezirksregion von treptow kopenick","3","1","2019-02"
"51","hydrant","4","2","2019-02"
"52","luft","3","2","2019-02"
"53","mietpreis","3","2","2019-02"
"54","erbbaubelastet grundstuck","3","1","2019-02"
"55","geolog bohrdat","3","1","2019-02"
"56","lehr","5","3","2019-02"
"57","wass","4","2","2019-02"
"58","brunn","3","2","2019-02"
"59","kunst","3","1","2019-02"
"60","wahl","4","3","2019-02"
"61","erwerbslosenzahl","3","1","2019-02"
"62","einschulungsuntersuch","3","1","2019-02"
"63","verkehrsaufkomm","3","1","2019-02"
"64","richtwert fur stellplatzbedarf","3","1","2019-02"
"65","alleinerzieh neukolln","3","2","2019-02"
"66","polizei","4","4","2019-02"
"67","larm","4","3","2019-02"
"68","mitt","4","3","2019-02"
"69","auktion","3","1","2019-02"
"70","luftbild","3","2","2019-02"
"71","echtzeit","3","1","2019-02"
"72","pegel","3","1","2019-02"
"73","geojson","3","1","2019-02"
"74","berlin 1650","3","1","2019-02"
"75","hochschul","3","1","2019-02"
"76","veranstalt","4","3","2019-02"
"77","opf","3","1","2019-02"
"78","bus","2","2","2019-02"
"79","gewalt","2","2","2019-02"
"80","unterflurhydrant","2","1","2019-02"
"81","ortsteil","4","3","2019-02"
"82","wahllokal neukolln","2","1","2019-02"
"83","los","2","2","2019-02"
"84","miet","5","5","2019-02"
"85","jugendgewalt","2","1","2019-02"
"86","schul","9","8","2019-02"
"87","tempelhof","4","4","2019-02"
"88","einwohn","3","3","2019-02"
"89","arzt lichtenberg","3","2","2019-02"
"90","beschaftigt","2","1","2019-02"
"91","wohnung","2","1","2019-02"
"92","bvg","2","2","2019-02"
"93","dezibel","3","2","2019-02"
"94","auslanderanteil de","2","1","2019-02"
"95","zuzug","2","2","2019-02"
"96","kita","3","2","2019-02"
"97","lageplan","3","2","2019-02"
"98","verfahr zur ermittl des verkehrwert","2","1","2019-02"
"99","grundstuck erbbauberechtigt","2","1","2019-02"
"100","tempel","2","1","2019-02"
"101","senatsbeschluss","4","3","2019-02"
"102","geodat baum or baum","2","1","2019-02"
"103","alt glienick grund","2","1","2019-02"
"104","einwohnerinn und einwohn mit migrationshintergrund","3","2","2019-02"
"105","oper","2","1","2019-02"
"106","kind","2","2","2019-02"
"107","flughaf tegel","2","1","2019-02"
"108","tourismus","2","1","2019-02"
"109","papi sammelstell","4","3","2019-02"
"110","15 1002","3","2","2019-02"
"111","wohnflach","2","2","2019-02"
"112","grundstuck erbbauberechtigt","2","1","2019-02"
"113","bevolker","4","4","2019-02"
"114","ermittl des verkehrswert","2","1","2019-02"
"115","kart","4","2","2019-02"
"116","digital gelandemodell","2","1","2019-02"
"117","stellplatzverordn","2","1","2019-02"
"118","tempohom","2","1","2019-02"
"120","stromnetz","2","1","2019-02"
"121","lastprofil","5","4","2019-02"
"122","bundestagswahl","2","1","2019-02"
"123","bvv","2","2","2019-02"
"124","grundstuck erbbauberechtigt","2","1","2019-02"
"125","straka","2","1","2019-02"
"126","tempolimit zionskirchstrass","2","1","2019-02"
"127","abwass","3","2","2019-02"
"128","einwohnerinn und einwohn mit migrationshintergrund in berlin in lor planungsraum","3","2","2019-02"
"129","flachennutzungsplan","2","2","2019-02"
"130","verkehrszahl","2","1","2019-02"
"131","profil","2","1","2019-02"
"132","bezirk shapefil lor","2","1","2019-02"
